group_id,cx,cy,radius,z_index,shape
3,561,336,18,5,circleShape
2,560,311,18,7,circleShape
2,549,298,18,9,circleShape
1,545,275,18,11,circleShape
3,541,322,18,13,circleShape
1,533,346,18,15,circleShape
1,533,264,18,17,circleShape
3,529,240,18,19,circleShape
2,528,288,18,21,circleShape
3,518,309,18,23,circleShape
1,517,330,18,25,circleShape
3,516,226,18,27,circleShape
2,513,202,18,29,circleShape
1,510,253,18,31,circleShape
2,507,275,18,33,circleShape
2,499,191,18,35,circleShape
3,498,295,18,37,circleShape
3,495,213,18,39,circleShape
1,495,168,18,41,circleShape
1,490,240,18,43,circleShape
2,488,260,18,45,circleShape
2,477,182,18,47,circleShape
1,477,155,18,49,circleShape
3,474,206,18,51,circleShape
1,473,222,18,53,circleShape
3,468,130,18,55,circleShape
3,454,194,18,57,circleShape
1,454,149,18,59,circleShape
2,451,172,18,61,circleShape
3,448,122,18,63,circleShape
2,439,99,18,65,circleShape
2,431,164,18,67,circleShape
1,429,146,18,69,circleShape
3,424,119,18,71,circleShape
2,423,93,18,73,circleShape
1,406,75,18,75,circleShape
1,405,140,18,77,circleShape
3,400,119,18,79,circleShape
2,396,96,18,81,circleShape
1,386,72,18,83,circleShape
3,381,116,18,85,circleShape
2,371,102,18,87,circleShape
3,371,56,18,89,circleShape
1,362,78,18,91,circleShape
2,351,103,18,93,circleShape
3,348,60,18,95,circleShape
1,340,88,18,97,circleShape
2,326,46,18,99,circleShape
3,323,70,18,101,circleShape
1,320,96,18,103,circleShape
3,307,85,18,105,circleShape
2,304,53,18,107,circleShape
3,290,99,18,109,circleShape
2,284,71,18,111,circleShape
1,280,47,18,113,circleShape
2,272,93,18,115,circleShape
1,260,61,18,117,circleShape
2,256,106,18,119,circleShape
1,247,83,18,121,circleShape
3,239,59,18,123,circleShape
1,238,108,18,125,circleShape
1,227,124,18,127,circleShape
3,224,76,18,129,circleShape
3,214,101,18,131,circleShape
3,212,126,18,133,circleShape
3,203,143,18,135,circleShape
2,202,79,18,137,circleShape
2,189,152,18,139,circleShape
2,187,128,18,141,circleShape
2,186,101,18,143,circleShape
2,180,173,18,145,circleShape
1,167,111,18,147,circleShape
1,163,180,18,149,circleShape
1,162,157,18,151,circleShape
1,161,132,18,153,circleShape
1,160,200,18,155,circleShape
3,152,130,18,157,circleShape
3,146,216,18,159,circleShape
3,141,235,18,161,circleShape
3,139,140,18,163,circleShape
3,138,191,18,165,circleShape
3,134,166,18,167,circleShape
2,132,249,18,169,circleShape
2,129,270,18,171,circleShape
2,122,226,18,173,circleShape
1,118,305,18,175,circleShape
1,117,286,18,177,circleShape
2,117,175,18,179,circleShape
2,113,197,18,181,circleShape
1,108,263,18,183,circleShape
3,103,338,18,185,circleShape
3,103,322,18,187,circleShape
1,99,239,18,189,circleShape
1,98,214,18,191,circleShape
3,92,300,18,193,circleShape
2,90,359,18,195,circleShape
3,83,273,18,197,circleShape
2,82,340,18,199,circleShape
3,82,249,18,201,circleShape
2,71,295,18,203,circleShape
2,68,320,18,205,circleShape
2,68,308,18,207,circleShape
1,62,350,18,209,circleShape
1,52,325,18,211,circleShape
